0,30
0,30
1,40
2,33
3,15
4,7
5,5
6,5
7,6
8,9
9,15
10,25
11,37
12,41
13,20
14,8
15,5
16,5
17,6
18,9
19,15
20,25
21,37
22,41
23,20
24,8
25,5
26,5
27,6
28,9
29,15
30,25
31,37
32,41
33,20
34,8
35,5
36,5
37,6
38,9
39,15
40,25
41,37
42,41
43,20
44,8
45,5
46,5
47,6
48,9
49,15
